01-02 08:00:04 Miner M50VH80(V226-5D), MAC:CC:04:1A:00:62:45, version:20230911.12.Rel, PowerHw:RT0147, PowerSw:230224.230809, PowerSn:1436B2321600541 PCB0:BHM32X6F843721X43003 PCB1:BHM32X6F843721X43113 PCB2:BHM32X6F843721X44252
01-02 08:00:07 Code<error>[2010]: reason: All pools disabled for 2s, please check the network or pools configure.
00-02-08 hs0,freq0,bt0,ct0|hs1,freq1,bt1,ct1|...|fan0,fan1|env temp|cpu temp,cpu rate,mem|vout,pin,vin
00:31 0.0,0,21,0|0.0,0,16,0|0.0,0,16,0|780,900|5|16, 2,162|0,8,230
11-21-03 hs0,freq0,bt0,ct0|hs1,freq1,bt1,ct1|...|fan0,fan1|env temp|cpu temp,cpu rate,mem|vout,pin,vin
28:32 0.4,288,21,27|0.2,288,17,23|0.4,288,17,22|0,0|5|17,11,136|1250,1600,229
29:02 2.1,432,28,41|1.7,432,24,37|2.4,432,23,37|180,180|5|18,15,135|1252,2432,229
29:32 8.2,546,38,60|6.5,546,35,57|7.1,546,34,57|750,810|6|18, 0,135|1252,3120,229
30:02 20.4,592,51,80|19.0,590,49,78|17.8,586,48,76|1800,1860|7|18, 2,134|1253,3540,229
30:33 25.9,614,64,85|25.4,612,62,82|24.0,606,61,82|3180,3150|8|21,12,133|1252,3716,229
31:03 13.9,611,71,90|13.7,607,70,86|13.2,603,68,85|3330,3270|8|22,14,132|1252,3720,228
31:33 4.6,616,73,91|4.9,611,70,86|4.9,608,69,85|3240,3270|7|22,12,130|1252,3716,228
32:03 5.3,616,73,91|5.2,610,70,85|6.0,607,70,85|3240,3270|7|21, 4,129|1253,3704,227
32:33 5.5,614,73,91|5.5,607,70,84|5.8,606,69,85|3210,3270|7|22, 0,128|1252,3692,227
12-21 03:32:34 Code<warn>[901]: reason: Upfreq error, freq: 603/599M, power_rate 29.42W/0.00W
12-21 03:32:35 Code<warn>[571]: reason: Slot1 xfer error chip: U87 U88
12-21 03:32:37 Code<warn>[212]: reason: Power vout error, reach vout border, vout: 1252, border: [1252, 1400]
33:03 42.2,614,74,91|41.4,607,69,84|41.5,606,70,85|3060,3060|7|18, 8,128|1252,3684,227
33:34 42.2,614,74,91|41.3,607,69,84|41.5,606,70,85|3150,3240|7|20, 6,128|1253,3688,227
34:04 42.2,614,74,91|41.2,607,69,84|41.5,606,70,85|3270,3240|7|18, 2,128|1254,3700,226
34:34 42.2,614,74,91|41.2,607,69,84|41.4,606,70,85|3150,3150|7|19, 2,128|1254,3700,226
35:04 42.2,614,74,91|41.4,607,69,84|41.6,606,70,86|3300,3360|8|19, 6,128|1254,3708,226
35:34 42.2,614,73,91|41.3,607,69,83|41.8,606,69,85|3270,3300|7|19, 6,128|1254,3700,226
36:04 42.2,614,73,91|41.3,607,69,84|41.7,606,70,85|3180,3240|7|18, 6,128|1256,3712,228
36:35 42.2,614,74,91|41.5,607,69,84|41.5,606,70,85|3150,3240|7|19, 2,128|1256,3716,228
37:05 42.1,614,74,91|41.5,607,69,84|41.4,606,70,85|3270,3270|7|18, 6,127|1254,3700,227
37:35 42.1,614,73,91|41.5,607,69,83|41.4,606,69,85|3300,3270|7|19, 9,128|1254,3700,226
38:05 42.0,614,73,91|41.4,607,68,83|41.3,606,69,85|3270,3300|7|18, 8,127|1254,3700,227
38:35 42.1,614,73,91|41.4,607,68,83|41.4,606,69,85|3300,3300|7|18, 2,127|1255,3696,227
39:05 42.2,614,73,91|41.5,607,68,83|41.5,606,69,85|3120,3090|7|18, 6,127|1254,3696,227
39:36 42.2,614,73,91|41.5,607,68,83|41.4,606,69,85|3480,3480|7|18, 6,127|1254,3704,228
40:06 42.3,614,74,91|41.4,607,68,83|41.4,606,69,85|3180,3210|8|19, 0,128|1254,3692,228
40:36 42.3,614,74,91|41.2,607,68,83|41.4,606,69,85|3390,3360|8|19, 4,127|1253,3700,227
41:06 42.4,614,74,91|41.3,607,68,83|41.4,606,68,84|3420,3390|8|20, 2,127|1252,3692,227
41:36 42.4,614,73,91|41.3,607,68,82|41.4,606,68,84|3330,3360|8|19, 6,127|1253,3684,227
42:06 42.2,614,73,91|41.2,607,68,83|41.5,606,68,84|3180,3240|8|20,11,127|1254,3692,226
42:37 42.3,614,73,91|41.2,607,68,83|41.5,606,68,84|3300,3270|7|19, 2,127|1253,3692,227
43:07 42.3,614,74,91|41.2,607,68,83|41.4,606,69,84|3180,3210|7|19, 6,127|1253,3692,226
43:37 42.3,614,74,91|41.3,607,68,83|41.4,606,69,84|3180,3210|7|19, 4,127|1253,3692,226
44:07 42.2,614,74,91|41.2,607,68,83|41.3,606,69,84|3240,3240|7|19, 7,127|1254,3696,226
44:37 42.3,614,74,91|41.1,607,68,83|41.4,606,69,84|3210,3240|7|18, 2,127|1254,3696,226
45:07 42.3,614,74,91|41.3,607,68,83|41.5,606,68,84|3690,3660|7|18, 8,127|1254,3708,226
45:38 42.2,614,73,91|41.4,607,67,82|41.3,606,67,83|3240,3150|7|19, 4,127|1255,3688,227
46:08 42.2,614,73,91|41.2,607,67,82|41.1,606,67,83|3180,3180|7|18, 2,127|1256,3692,228
46:38 42.3,614,74,91|41.3,607,67,82|41.2,606,67,83|3150,3180|6|18,10,127|1255,3696,228
47:08 42.3,614,74,91|41.4,607,68,82|41.3,606,68,83|3240,3210|6|18, 4,127|1256,3700,229
47:38 42.2,614,74,91|41.3,607,68,82|41.4,606,68,83|3180,3150|6|19, 2,127|1256,3696,229
48:08 42.2,614,74,91|41.3,607,68,83|41.5,606,68,84|3300,3330|7|18, 7,127|1256,3708,229
48:39 42.3,614,73,91|41.4,607,68,82|41.5,606,68,83|3360,3270|7|18, 2,127|1256,3700,228
49:09 42.4,614,74,91|41.3,607,68,82|41.2,606,68,83|3240,3270|7|19, 6,127|1256,3696,228
49:39 42.4,614,73,91|41.1,607,68,82|41.4,606,68,83|3210,3120|6|18, 2,127|1256,3696,227
50:09 42.4,614,74,91|41.3,607,68,83|41.5,606,68,84|3240,3300|7|18, 4,127|1255,3704,227
50:39 42.4,614,73,91|41.3,607,68,83|41.6,606,68,84|3270,3180|6|18, 6,127|1255,3700,227
51:09 42.3,614,74,91|41.1,607,68,83|41.6,606,68,84|3270,3180|6|17, 0,127|1256,3700,227
51:39 42.2,614,74,91|41.1,607,68,83|41.5,606,68,84|3270,3180|6|17, 2,127|1257,3704,228
52:10 42.2,614,73,91|41.1,607,68,83|41.4,606,68,84|3240,3180|6|18, 4,127|1257,3704,228
52:40 42.2,614,73,91|41.2,607,68,83|41.5,606,68,84|3150,3150|6|17,10,127|1257,3704,228
53:10 42.4,614,74,91|41.3,607,68,83|41.6,606,69,84|3180,3150|6|18, 4,127|1255,3704,228
53:40 42.4,614,74,91|41.4,607,68,83|41.6,606,69,85|3210,3150|6|17, 4,127|1256,3704,228
54:10 42.3,614,74,91|41.4,607,68,83|41.5,606,69,85|3300,3300|6|18, 2,127|1254,3700,228
54:40 42.4,614,73,91|41.4,607,68,83|41.4,606,68,84|3210,3150|7|18, 4,127|1254,3692,228
55:11 42.2,614,74,91|41.4,607,68,83|41.4,606,69,84|3240,3150|6|18, 2,127|1255,3700,228
55:41 42.2,614,74,91|41.5,607,68,83|41.4,606,68,84|3510,3450|7|18, 0,127|1254,3704,228
56:11 42.3,614,73,91|41.4,607,68,83|41.4,606,68,83|3240,3270|7|18, 2,127|1254,3696,228
56:41 42.2,614,74,91|41.2,607,68,83|41.3,606,68,84|3450,3450|7|19, 0,127|1255,3712,228
57:11 42.2,614,73,91|41.2,607,68,82|41.2,606,67,83|3300,3300|7|18, 8,127|1256,3696,228
57:41 42.2,614,74,91|41.4,607,68,82|41.1,606,67,83|3390,3390|7|19, 4,127|1257,3712,228
58:12 42.3,614,74,91|41.4,607,68,83|41.2,606,68,83|3210,3330|7|19, 2,127|1257,3716,228
58:42 42.3,614,73,91|41.5,607,68,82|41.2,606,67,83|3270,3270|7|19, 4,127|1256,3704,228
59:12 42.3,614,74,91|41.3,607,68,82|41.3,606,67,83|3330,3360|7|18, 4,127|1256,3708,228
59:42 42.6,614,74,91|41.2,607,67,82|41.3,606,67,83|3150,3240|7|18, 6,127|1256,3696,228
11-21-04 hs0,freq0,bt0,ct0|hs1,freq1,bt1,ct1|...|fan0,fan1|env temp|cpu temp,cpu rate,mem|vout,pin,vin
00:12 42.4,614,74,91|41.4,607,67,82|41.2,606,67,83|3180,3240|6|18, 4,127|1255,3696,228
00:42 42.2,614,74,91|41.3,607,68,82|41.4,606,67,83|3330,3300|7|18, 0,127|1256,3700,228
01:13 42.2,614,74,91|41.2,607,68,82|41.6,606,67,83|3300,3300|7|18, 4,127|1255,3704,228
01:43 42.3,614,74,91|41.2,607,68,83|41.5,606,68,83|3300,3270|7|19, 4,127|1254,3700,228
02:13 42.4,614,74,91|41.4,607,68,82|41.5,606,68,83|3420,3450|7|18, 2,127|1254,3696,228
02:43 42.3,614,73,91|41.4,607,68,82|41.4,606,67,83|3120,3090|7|19, 2,127|1253,3684,228
12-21 04:03:00 Code<error>[217]: reason: Power set enable error. set: 1, get: 0
03:13 30.7,614,71,91|30.1,607,66,82|30.0,606,66,83|0,0|7|18, 4,127|0,7,230
03:43 9.5,614,67,91|9.4,607,62,82|9.4,606,63,83|0,0|8|18,13,127|0,6,231
04:13 0.0,614,63,91|0.0,607,59,82|0.0,606,59,83|930,960|8|19, 6,127|0,11,231
04:44 0.0,614,59,91|0.0,607,55,82|0.0,606,55,83|0,0|8|19, 2,127|0,6,230
05:14 0.0,614,55,91|0.0,607,51,82|0.0,606,52,83|450,450|8|19, 2,127|0,6,230
05:44 0.0,614,51,91|0.0,607,48,82|0.0,606,48,83|870,960|8|20, 4,127|0,15,229
06:14 0.0,614,48,91|0.0,607,45,82|0.0,606,45,83|0,0|8|20, 4,127|0,7,230
06:44 0.0,614,45,91|0.0,607,42,82|0.0,606,42,83|360,450|8|20, 0,127|0,6,230
07:14 0.0,614,42,91|0.0,607,40,82|0.0,606,40,83|900,960|8|19, 6,127|0,12,230
12-21 04:07:36 Code<warn>[2310]: reason: Hashrate too low, current: 8.58T, expected: 125.36T, percent: 6.84%
07:44 0.0,0,40,0|0.0,0,37,0|0.0,0,37,0|1500,1590|9|18, 2,153|0,11,230
12-21 04:07:44 Restart btminer as as No btminer
07:44 0.0,0,40,0|0.0,0,37,0|0.0,0,37,0|1500,1590|9|18, 4,153|0,11,230
08:15 0.2,216,33,37|0.1,216,30,34|0.2,216,30,33|420,450|8|22,33,135|1249,1274,229
08:45 1.7,384,37,46|1.1,384,34,42|1.6,384,34,41|570,600|8|21, 7,135|1252,2172,228
09:15 6.5,510,45,62|5.7,510,43,59|5.7,510,42,58|0,0|8|22,10,134|1252,2936,228
09:45 15.6,581,56,81|15.9,581,55,79|14.8,580,54,78|0,0|8|20, 2,133|1252,3516,228
10:15 20.3,604,69,91|20.7,604,68,88|19.7,603,67,88|3060,3060|8|24,19,132|1252,3756,228
10:46 12.1,614,72,90|11.9,614,71,86|11.5,608,69,86|3720,3690|8|23,20,131|1252,3736,228
11:16 5.0,613,73,91|5.0,611,71,86|4.7,606,69,85|3330,3390|9|23,12,129|1252,3708,228
11:46 5.8,615,74,91|7.7,613,70,85|5.7,607,70,85|3210,3150|8|21, 7,128|1252,3696,228
12-21 04:12:14 Code<warn>[212]: reason: Power vout error, reach vout border, vout: 1252, border: [1252, 1400]
12:16 41.7,613,74,91|41.5,610,70,85|41.6,605,69,85|3210,3300|8|20, 4,127|1252,3688,228
12:46 42.2,613,74,91|41.2,610,70,85|41.2,605,69,85|3330,3210|8|19, 4,127|1252,3696,227
13:17 42.2,613,74,91|41.2,610,69,84|41.1,605,68,84|3540,3570|8|19, 6,127|1254,3696,227
13:47 42.3,613,73,90|41.2,610,68,82|41.0,605,67,83|3060,3060|7|18, 4,127|1254,3684,227
